energy of the configurations with given concentration of disorder
   830000 -10060.0 -9580.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   840000 -10060.0 -9580.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   850000 -10060.0 -9580.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   860000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   870000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   880000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   890000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   900000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   910000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   920000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   930000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   940000 -10060.0 -9588.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   950000 -10060.0 -9596.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   960000 -10060.0 -9596.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   970000 -10060.0 -9596.0 -9312.0 -8816.0 -7308.0 -5692.0 -3152.0
   980000 -10060.0 -9596.0 -9320.0 -8816.0 -7308.0 -5692.0 -3152.0
   990000 -10060.0 -9596.0 -9320.0 -8816.0 -7308.0 -5692.0 -3152.0
